topic_id;title;pid;video_id;youtube_url
142;[VÍDEO] EXPERIMENTANDO ESCAPE SÓ O CANO NA HORNET;142;wW8g8_PEIYI;https://youtu.be/wW8g8_PEIYI
143;[VÍDEO] DIA CHUVOSO NO CARLINHOS - FT. BROWNILHA;143;G5yWrir-WQA;https://youtu.be/G5yWrir-WQA
144;[VÍDEO] LAVANDO A HORNET PELA PRIMEIRA VEZ;144;atsGssQB3bY;https://youtu.be/atsGssQB3bY
145;[VÍDEO] CAÍ EM UMA BLITZ PELA PRIMEIRA VEZ E SUSTOS;145;CWoON2AG2K0;https://youtu.be/CWoON2AG2K0
146;[VÍDEO] PREPARANDO PRESENTE DE NATAL DO LENON;146;SZIgJStMVgI;https://youtu.be/SZIgJStMVgI
147;[VÍDEO] ENTREGANDO PRESENTE DE NATAL PRO LENON;147;HWKQNbMqUx4;https://youtu.be/HWKQNbMqUx4
148;[VÍDEO] DIA CHUVOSO DE HORNET EM FORTALEZA;148;e1Kzad0yoAw;https://youtu.be/e1Kzad0yoAw
149;[VÍDEO] ESPECIAL DE NATAL EM PINDORETAMA;149;y4J45n8DQHo;https://youtu.be/y4J45n8DQHo
150;[VÍDEO] COMO SOBREVIVER NA RODOVIA DE HORNET CHOVENDO;150;wwWnjNOV2hg;https://youtu.be/wwWnjNOV2hg
151;[VÍDEO] UM ROLÊ NOTURNO NA NEGONA;151;sBl3kmidhu0;https://youtu.be/sBl3kmidhu0
152;[VÍDEO] VIDA.EXE;152;_9SZ0IqFEN4;https://youtu.be/_9SZ0IqFEN4
153;[VÍDEO] UM ROLÊ PRO MCDONALDS COM SOBRINHA;153;HzQiFQcndPU;https://youtu.be/HzQiFQcndPU
154;[VÍDEO] UM DIA COM O CARLINHOS NA BR;154;uDE6IHNu82c;https://youtu.be/uDE6IHNu82c
155;[VÍDEO] ÚLTIMOS DIAS DE 2018;155;r5WzGEGtVRk;https://youtu.be/r5WzGEGtVRk
156;[VÍDEO] ACHEI O GOULARTE NO VRCHAT;156;at4x3VHHdVk;https://youtu.be/at4x3VHHdVk
156;[VÍDEO] ACHEI O GOULARTE NO VRCHAT;156;X3dLOjEv-bE;https://youtu.be/X3dLOjEv-bE
157;[VÍDEO] UM DIA COM SR. ALISON;157;k6mA8-maBT8;https://youtu.be/k6mA8-maBT8
158;[VÍDEO] HORNETEIRO DA MORTE DO HALLOWEEN;158;KOEjC9HC8JE;https://youtu.be/KOEjC9HC8JE
159;[VÍDEO] APURAÇÃO DE VOTOS EM FORTALEZA 2º TURNO;159;OQ5t5LC4HyE;https://youtu.be/OQ5t5LC4HyE
160;[VÍDEO] BRUNO SHOW - ESPECIAIS - MEU TOPOLINO DOENTE DO OLHO;160;yNQGTXyR9p4;https://youtu.be/yNQGTXyR9p4
